trein_id,dienst_datum,reizigers,zitplaatsen_beschikbaar,bezettingsgraad_pct
IC1030,2024-01-01,378,510,74.1
IC1000,2024-01-01,541,480,112.7
IC1022,2024-01-01,585,720,81.2
IC1031,2024-01-01,827,640,129.2
IC1018,2024-01-01,516,720,71.7
IC1028,2024-01-01,433,720,60.1
IC1010,2024-01-01,703,720,97.6
SPR2020,2024-01-01,349,540,64.6
IC1004,2024-01-01,549,640,85.8
IC1012,2024-01-01,494,540,91.5
IC1049,2024-01-01,216,280,77.1
IC1033,2024-01-01,462,360,128.3
SPR2017,2024-01-01,605,720,84.0
IC1035,2024-01-01,252,360,70.0
SPR2018,2024-01-01,200,320,62.5
IC1045,2024-01-01,293,360,81.4
SPR2023,2024-01-01,845,720,117.4
SPR2011,2024-01-01,432,560,77.1
SPR2005,2024-01-01,326,320,101.9
IC1040,2024-01-01,723,560,129.1
IC1009,2024-01-01,403,480,84.0
SPR2014,2024-01-01,371,360,103.1
IC1005,2024-01-01,734,720,101.9
IC1047,2024-01-01,518,510,101.6
IC1034,2024-01-01,354,280,126.4
SPR2012,2024-01-01,483,420,115.0
IC1042,2024-01-01,169,280,60.4
SPR2004,2024-01-01,223,360,61.9
IC1016,2024-01-01,339,540,62.8
IC1039,2024-01-01,273,320,85.3
SPR2006,2024-01-01,290,320,90.6
SPR2029,2024-01-01,792,680,116.5
IC1007,2024-01-01,585,560,104.5
SPR2000,2024-01-01,662,510,129.8
SPR2003,2024-01-01,832,720,115.6
IC1019,2024-01-01,581,480,121.0
SPR2016,2024-01-01,349,480,72.7
IC1025,2024-01-01,566,540,104.8
IC1044,2024-01-01,225,320,70.3
IC1013,2024-01-01,772,720,107.2
SPR2009,2024-01-02,396,340,116.5
IC1014,2024-01-02,518,640,80.9
IC1004,2024-01-02,258,360,71.7
IC1038,2024-01-02,214,280,76.4
SPR2005,2024-01-02,490,420,116.7
IC1013,2024-01-02,530,540,98.1
SPR2004,2024-01-02,273,280,97.5
SPR2008,2024-01-02,341,340,100.3
SPR2028,2024-01-02,481,510,94.3
SPR2016,2024-01-02,337,280,120.4
SPR2017,2024-01-02,487,510,95.5
SPR2014,2024-01-02,325,320,101.6
IC1033,2024-01-02,925,720,128.5
IC1019,2024-01-02,312,340,91.8
SPR2015,2024-01-02,409,560,73.0
IC1011,2024-01-02,556,560,99.3
IC1012,2024-01-02,393,360,109.2
IC1035,2024-01-02,385,560,68.8
IC1049,2024-01-02,513,720,71.2
