trein_id,dienst_datum,materieeltype,aantal_bakken,totaal_zitplaatsen,staanplaatsen
IC1030,2024-01-01,DDZ,6,510,240
IC1000,2024-01-01,ICNG,6,480,240
IC1022,2024-01-01,VIRM,8,720,320
IC1031,2024-01-01,ICNG,8,640,320
IC1018,2024-01-01,VIRM,8,720,320
IC1028,2024-01-01,VIRM,8,720,320
IC1010,2024-01-01,VIRM,8,720,320
SPR2020,2024-01-01,VIRM,6,540,240
IC1004,2024-01-01,ICNG,8,640,320
IC1012,2024-01-01,VIRM,6,540,240
IC1049,2024-01-01,SLT,4,280,160
IC1033,2024-01-01,VIRM,4,360,160
SPR2017,2024-01-01,VIRM,8,720,320
IC1035,2024-01-01,VIRM,4,360,160
SPR2018,2024-01-01,ICNG,4,320,160
IC1045,2024-01-01,VIRM,4,360,160
SPR2023,2024-01-01,VIRM,8,720,320
SPR2011,2024-01-01,SLT,8,560,320
SPR2005,2024-01-01,ICNG,4,320,160
IC1040,2024-01-01,SLT,8,560,320
IC1009,2024-01-01,ICNG,6,480,240
SPR2014,2024-01-01,VIRM,4,360,160
IC1005,2024-01-01,VIRM,8,720,320
IC1047,2024-01-01,DDZ,6,510,240
IC1034,2024-01-01,SLT,4,280,160
SPR2012,2024-01-01,SLT,6,420,240
IC1042,2024-01-01,SLT,4,280,160
SPR2004,2024-01-01,VIRM,4,360,160
IC1016,2024-01-01,VIRM,6,540,240
IC1039,2024-01-01,ICNG,4,320,160
SPR2006,2024-01-01,ICNG,4,320,160
SPR2029,2024-01-01,DDZ,8,680,320
IC1007,2024-01-01,SLT,8,560,320
SPR2000,2024-01-01,DDZ,6,510,240
SPR2003,2024-01-01,VIRM,8,720,320
IC1019,2024-01-01,ICNG,6,480,240
SPR2016,2024-01-01,ICNG,6,480,240
IC1025,2024-01-01,VIRM,6,540,240
IC1044,2024-01-01,ICNG,4,320,160
IC1013,2024-01-01,VIRM,8,720,320
SPR2009,2024-01-02,DDZ,4,340,160
