trein_id,dienst_datum,traject,vertrek_station,aankomst_station,vertrek_uur
IC1030,2024-01-01,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,19
IC1000,2024-01-01,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,5
IC1022,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,7
IC1031,2024-01-01,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,11
IC1018,2024-01-01,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,12
IC1028,2024-01-01,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
IC1010,2024-01-01,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,7
SPR2020,2024-01-01,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,7
IC1004,2024-01-01,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,18
IC1012,2024-01-01,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,14
IC1049,2024-01-01,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,11
IC1033,2024-01-01,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,11
SPR2017,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,11
IC1035,2024-01-01,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,17
SPR2018,2024-01-01,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,16
IC1045,2024-01-01,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,11
SPR2023,2024-01-01,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,17
SPR2011,2024-01-01,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,13
SPR2005,2024-01-01,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,16
IC1040,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,21
IC1009,2024-01-01,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,6
SPR2014,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,21
IC1005,2024-01-01,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
IC1047,2024-01-01,Eindhoven - Amersfoort,Eindhoven,Amersfoort,16
IC1034,2024-01-01,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,21
SPR2012,2024-01-01,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,15
